Wesbite URL,A3 Value,Page Rank
ministers.treasury.gov.au,0.10082418295036455,4.65
portalconsular.itamaraty.gov.br,0.10003338827647112,4.53
bacolodcity.gov.ph,0.1647520803483935,4.59
hiv.gov,0.1631847049775672,5.03
microsoft.gcs-web.com,1,4.61
rs.gov.ru,0.3332874592702392,4.58
jtj.cq.gov.cn,0.4305945662474663,4.49
2050.nies.go.jp,0.10778832552105622,4.51
dcf.vermont.gov,0.16551232151150563,4.62
consejoarqueologia.inah.gob.mx,0.21195017329579147,4.46
mcb.wa.gov.au,0.14366226975343022,4.51
cnb.gov.sg,0.10701618833582116,4.52
lad.gov.hk,0.10736197543466042,4.47
www2.senado.gov.br,0.10813843637252762,4.50
myportal.dfs.ny.gov,0.27944546897199674,4.50
police.govmu.org,0.31797916984022867,4.54
parks.sonomacounty.ca.gov,0.16591187152076958,4.51
hillsboroughnc.gov,0.23783326146538153,4.56
art.gov.ge,0.15087376806807984,4.49
commune-tozeur.gov.tn,0.2596562278549903,4.48
www-cdf.fnal.gov,1,4.64
lbbd.gov.uk,1,4.74
coconutboard.gov.in,0.32451053821662845,4.47
statdb.dgbas.gov.tw,0.271,4.52
coronavirus.gov.hk,0.271,5.02
vdh.virginia.gov,0.1861753007942849,5.51
2012-keystonepipeline-xl.state.gov,0.1386554931779339,4.55
wcl.govt.nz,0.12113936982257067,4.54
reportfraud.ftc.gov,1,5.16
pdf.usaid.gov,0.18999999999999995,4.99
ncforestservice.gov,0.11858471746079324,4.63
tre.wa.gov,0.14714415613873633,4.33
democracy.breckland.gov.uk,0.13136165318789916,4.46
dmaps.wv.gov,1,4.50
congress.gov.ph,0.2547102163359297,4.73
fja.gc.ca,1,4.68
authentications.utah.gov,0.19971998227501686,4.47
en.cmse.gov.cn,0.13359894753034995,4.67
economie.gouv.qc.ca,0.15364875003423617,4.58
patterns.boston.gov,0.10163279868292674,4.32
nadur.gov.mt,0.179575823331252,4.47
himawari8.nict.go.jp,0.9744116534042142,4.63
computing.llnl.gov,0.19421516096571978,4.72
gla.gov.uk,0.1386554931779339,4.57
bvirtual.bnp.gob.pe,0.28620084383884803,4.47
polsa.gov.pl,0.11713075665847972,4.49
duckworth.senate.gov,0.10113334627295023,4.72
uruguayxxi.gub.uy,0.3180246831786214,4.71
info.portaldasfinancas.gov.pt,0.24155303645576887,4.82
dse.ladakh.gov.in,1,4.47
registrocivil.col.gob.mx,1,4.46
enseignementsup-recherche.gouv.fr,0.28524130983113605,4.97
jimmycarterlibrary.gov,0.14817774756970892,4.82
islington.gov.uk,0.13798105381320347,4.77
tradecommissioner.gc.ca,1,4.66
yearbook.gov.hk,1,4.65
declassification.blogs.archives.gov,0.1309883644511044,4.49
korona.gov.sk,0.1928397443883637,4.39
littlemoreparishcouncil.gov.uk,0.12668897938140677,4.46
poa.sp.gov.br,0.236583103431399,4.47
stdavids.gov.uk,0.15244692779240077,4.52
tea.texas.gov,0.1001472309126058,5.00
btv.portal.gov.bd,0.10032976379474523,4.47
lisburncastlereagh.gov.uk,1,4.50
beaconsfieldtowncouncil.gov.uk,1,4.46
data.gouv.fr,0.10013741626780204,5.41
servicos.serpro.gov.br,0.10010151939606371,4.35
premier-ministre.gov.dz,0.15203177250127875,4.55
diyarbakir.meb.gov.tr,0.11060185747299678,4.46
