Wesbite URL,A3 Value,PageRank
cuanplay.carrd.co,0.15513364597638746,6.13
robertjohnsonbluesfoundation.org,0.10102454573526831,6.05
slashdot.org,0.33644269026656726,6.13
fanlink.to,0.19997826753259096,6.11
visual.ly,0.24255212785584734,6.03
acidholic.com,0.1435631124315414,6.18
dell.com,1,6.43
web.archive.org,0.151608887475564,7.56
amazon.es,0.1082254562759355,6.24
uvic.ca,1,6.50
smithsonianmag.com,0.12386988364102502,6.32
ikmultimedia.com,0.16160985920418514,6.07
techradar.com,0.2473923527086167,6.49
php.net,0.13774249253453563,6.60
google.co.uk,0.11177534677059853,6.95
techcrunch.com,0.5292027227968104,7.48
squareup.com,0.13899904456512302,6.63
therealnews.com,0.13658767154441398,6.27
discord.com,0.11566612553257916,6.59
rowman.com,0.10107082532818734,6.36
usa.gov,1,6.04
yandex.ru,1,6.82
xing.com,0.10032579828150812,6.54
nvd.nist.gov,1,6.20
mashable.com,0.1107293803516678,6.98
compass.com,0.14117268846177955,6.20
hackaday.com,0.20519777901157066,6.08
nhl.com,0.10712067337948739,6.08
cuanplay.weebly.com,0.14931735521883993,6.13
s3-eu-west-1.amazonaws.com,0.13451943882642592,6.28
sway.office.com,0.10601855978132835,6.04
telegra.ph,0.39693510942899624,6.53
search.google.com,0.11177534677059853,6.93
us06web.zoom.us,0.219797383042439,6.08
news.ycombinator.com,0.3078061134281521,6.09
blog.twitter.com,0.13088515156782476,6.35
pinterest.de,0.13199325606916512,6.03
springer.com,1,6.20
yecheilyahysrayl.com,0.22878356237312425,6.07
welt.de,0.2743562819345641,6.41
chris.pirillo.com,0.18999999999999995,6.66
researchgate.net,0.23687975459640365,7.20
instagram.com,0.1337499961187696,10.00
nginx.com,0.17460780795351727,6.02
ffm.bio,0.3005144225138774,6.02
1.gravatar.com,0.16165660539843751,6.14
knowyourmeme.com,0.3096058226805156,6.25
statcounter.com,0.24604926956412954,6.15
worldometers.info,0.13261604091390877,6.06
businesswire.com,0.11136900969135988,6.93
books.google.com,0.19566953303821977,6.79
help.pinterest.com,0.10243852216376959,6.27
lit.link,0.30731327352343485,6.52
gamejolt.com,0.10857925321184392,6.45
mtv.com,0.129221990438821,6.07
google.co.in,0.11177534677059853,6.14
intensedebate.com,1,6.00
good.is,0.10472126180689767,6.42
onlineharassmentfieldmanual.pen.org,0.11954526704147372,6.08
bible.com,0.12247254766191351,6.18
note.com,1,6.33
nationalgeographic.com,0.14835249884697144,7.11
mage2.pro,0.14618503175453756,6.00
federalregister.gov,0.1376152118503221,6.23
help.instagram.com,0.12425937519000463,6.69
music.youtube.com,1,6.63
code.google.com,0.32197669242915183,7.12
css-tricks.com,0.10447905835315174,6.40
prweb.com,0.1116651616465264,6.15
beastieboys.com,0.20996247737525175,6.07
blog.google,0.13359708395179115,7.43
brave.com,0.19260826866889202,6.15
api.whatsapp.com,0.10145318848358809,7.18
seekingalpha.com,0.12517903135797592,6.19
greenamerica.org,0.12701635277562928,6.09
unpkg.com,0.1292971533579793,7.10
zh.wikipedia.org,0.21605252528399144,6.22
servicesdirectory.withyoutube.com,0.11810302984121768,6.00
state.gov,0.12963716569548056,6.23
stats.wp.com,0.15513364597638746,6.89
starwars.com,0.134865860087253,6.84
purl.org,0.47227878062637596,6.89
sdgs.un.org,0.20979846923970225,6.12
ok.ru,1,6.09
open.spotify.com,0.10440719923714115,7.92
cchrflorida.org,0.11695926072310525,6.07
airtable.com,0.14839553857086996,6.55
rawgit.com,0.18999999999999995,6.13
getresponse.com,0.10898574296914532,6.11
gov.uk,0.10019389417040969,7.14
mobile.twitter.com,0.1949086442538449,6.70
picasaweb.google.com,0.11344491510299604,6.24
jquery.com,0.20137223773988544,6.06
gamekey.club,0.18334491661346453,6.04
rollingstone.com,0.11865934160148517,6.45
matrixsynth.blogspot.com,0.25273269884002636,6.07
a-quest.com,0.11640529162892999,6.12
asana.com,0.17323547212548263,6.36
fitbit.com,0.22674928272449202,6.30
