Wesbite URL,A3 Value,Page Rank
trud.ru,1,4.69
spier.hu,0.20428583891186247,4.32
ptcarberry.com,0.2063114899388252,4.33
toughgirlchallenges.com,0.1557268746405499,4.51
faithfullyglutenfree.com,0.16374113647494826,4.50
aktifmusteri.com,0.35630631958193015,4.53
polytech-health-aesthetics.com,0.2347548750088322,4.46
yorkshirebylines.co.uk,0.22414849646583412,4.61
opendental.com,0.3035875756719669,5.34
pleanala.ie,0.11646898391049842,4.48
truckersagainsttrafficking.org,0.1006455263860393,4.44
ndtv.in,0.13216162961349076,4.89
irip.pl,0.28484277986413076,4.47
piperspaintingtopsail.com,0.10511107867980063,4.33
ideapaint.com,0.1816129473297956,4.36
wcregisteronline.com,0.19886037830463443,4.46
jetsetmag.com,0.2799460692758077,4.51
sequential.com,0.19808716867223086,4.78
articleopedia.co.nr,0.271,4.46
churchofgodinchristmennonite.net,0.28883042932021963,4.47
fungikingdom.net,0.10009280871923731,4.54
trumeta.com,0.1012634385365414,4.33
htdsoftware.com,0.12668897938140677,4.48
persoenlich.com,0.2781624972969279,4.60
qlanguage.com.hk,0.12667187459198614,4.34
metrotas.com.au,0.12735372709672077,4.48
footballexpress.co.uk,0.13777360877255573,4.48
joernhees.de,0.2169758841257029,4.31
heathmankirkland.com,0.10745718813804961,4.32
gjbricks.com,0.10038382284521497,4.45
tghat.com,0.24558934131415233,4.57
faceyogalab.com,0.1237228428498105,4.37
visao.sapo.pt,0.2538321050699135,4.82
codeytek.com,0.13762852291452654,4.60
coach.gsplugins.com,0.24138613287196764,4.46
wildlifedirect.org,0.14409467281779154,4.80
mtvsomali.com,0.2709999999999999,4.46
ucuzperdedunyasi.com,0.13784502723406045,4.53
instyleflooringanddesigns.com,0.17685724753328103,4.33
mikescigars.com,0.1028891831080937,4.47
fitnessintegratedscience.tv,0.22933018891214874,4.53
panchmishali.com,0.10231537130345081,4.33
concreteships.org,0.24549094485859368,4.66
heartfeltcreations.us,0.3439,4.57
za.boell.org,0.19859138418317068,4.54
shibe.online,0.18999999999999995,4.31
fahrradmagazin.net,0.21441976880061886,4.44
oonumerics.org,0.18999999999999995,4.52
trinhanmedia.com,0.27966199530241276,4.46
brightidea.com,0.10116155170677665,4.32
animeenglishdubreviews.blogspot.hk,0.2756773690825387,4.46
api.dmcloud.net,0.11768057814748678,4.45
nicolevbennett.com,0.18999999999999995,4.37
croix-rouge.be,0.1896698055881504,4.62
kimwaystone.com,0.1826564690966731,4.33
pincodesearch.website,0.18999999999999995,4.46
ciusssmcq.ca,0.2566064093349406,4.40
pch.net,0.1319745918607229,4.62
usdaynews.com,0.10768881368585081,4.59
tottolearning.com,1,4.54
building-supply.dk,0.3579835920100367,4.50
leadinvest.com.br,0.13618008471948562,4.53
viris.si,0.20946994478267833,4.32
trianilla.com,0.2755041348138231,4.58
womadsworld.com,0.20895509360262843,4.33
etcaats.eu,0.2360513095177672,4.47
451research.com,0.17278991961221946,4.69
annainthehouse.com,0.25021532590281625,4.34
gfwcflorida.org,0.15297324795483225,4.47
indian-flavour.nl,0.21338232206579333,4.53
touchbible.com,0.10656100051449402,4.58
caup.tongji.edu.cn,0.10732079671732964,4.46
skanev.com,0.1867731359596918,4.32
visitsouthbank.com.au,0.18230477748748652,4.48
tammam.co.uk,0.11588679703196458,4.53
thefacts.com,0.10269754301430767,4.58
forbes.com.br,0.23014461784673834,4.74
parkwoodlodge.com,0.21161204810552237,4.33
ukessays.com,0.1726187360177549,4.78
rinjapanesepopgroup.home.blog,0.13141183810472523,4.46
businessinpuertorico.com,0.18999999999999995,4.48
agi.com,0.13127433230909225,4.74
goldfiglabs.com,0.10978667509715012,4.37
kentuckymonthly.com,0.10932705111543606,4.49
belairbayclub.com,0.19472737419104924,4.34
groomandstyle.com,0.11236887281057695,4.56
thecommunicationcouncil.org,0.12276334464028593,4.46
freepressreleases.co.uk,0.35479209313256055,4.46
edgardias.pt,0.14887185815579296,4.33
miniworldgame.com,0.16435527965937535,4.58
go.affectiva.com,0.1266522685947068,4.63
peaq.network,0.1108586052779319,4.71
baronandblue.com,0.10958857974870129,4.46
terriscafe.com,0.2218192440397615,4.38
